iata,name,city,lat,lon
AAF,Apalachicola Regional Airport,Apalachicola,29.7275,-85.0275
AAP,Andrau Airpark,Houston,29.7225,-95.5883
ABE,Lehigh Valley International Airport,Allentown,40.6521,-75.4408
ABI,Abilene Regional Airport,Abilene,32.4113,-99.6819
ABL,Ambler Airport,Ambler,67.1063,-157.85699
ABQ,Albuquerque International Sunport,Albuquerque,35.0402,-106.609
ABR,Aberdeen Regional Airport,Aberdeen,45.4491,-98.4218
ABY,Southwest Georgia Regional Airport,Albany,31.5355,-84.1945
ACK,Nantucket Memorial Airport,Nantucket,41.2531,-70.0602
ACT,Waco Regional Airport,Waco,31.6113,-97.2305
ACV,California Redwood Coast-Humboldt County Airport,Arcata CA,40.9781,-124.109
ACY,Atlantic City International Airport,Atlantic City,39.4576,-74.5772
ADK,Adak Airport,Adak Island,51.878,-176.646
ADM,Ardmore Municipal Airport,Ardmore,34.30301,-97.01963
ADQ,Kodiak Airport,Kodiak,57.75,-152.494
ADS,Addison Airport,Addison,32.9686,-96.8364
ADT,Ada Regional Airport,Ada,34.8043,-96.6713
ADW,Joint Base Andrews,Camp Springs,38.8108,-76.867
AET,Allakaket Airport,Allakaket,66.5518,-152.62199
AEX,Alexandria International Airport,Alexandria,31.3274,-92.5498
AFW,Fort Worth Alliance Airport,Fort Worth,32.9876,-97.3188
AGC,Allegheny County Airport,Pittsburgh,40.3544,-79.9302
AGN,Angoon Seaplane Base,Angoon,57.5036,-134.58501
AGS,Augusta Regional At Bush Field,Bush Field,33.3699,-81.9645
AHN,Athens Ben Epps Airport,Athens,33.9486,-83.3263
AIA,Alliance Municipal Airport,Alliance,42.0532,-102.804
AID,Anderson Municipal Darlington Field,ANDERSON,40.1086,-85.613
AIK,Aiken Regional Airport,Aiken,33.6494,-81.685
AIN,Wainwright Airport,Wainwright,70.638,-159.995
AIZ,Lee C Fine Memorial Airport,Kaiser Lake Ozark,38.096,-92.5495
AKB,Atka Airport,Atka,52.2203,-174.20599
AKC,Akron Fulton International Airport,Akron,41.0375,-81.4669
AKI,Akiak Airport,Akiak,60.9029,-161.231
AKK,Akhiok Airport,Akhiok,56.9387,-154.183
AKN,King Salmon Airport,King Salmon,58.6768,-156.649
AKO,Colorado Plains Regional Airport,Akron,40.1756,-103.222
AKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,68.1336,-151.743
ALB,Albany International Airport,Albany,42.7483,-73.8017
ALE,Alpine Casparis Municipal Airport,Alpine,30.3842,-103.684
ALI,Alice International Airport,Alice,27.7409,-98.0269
ALM,Alamogordo White Sands Regional Airport,Alamogordo,32.8399,-105.991
ALN,St Louis Regional Airport,Alton/St Louis,38.8903,-90.046
ALO,Waterloo Regional Airport,Waterloo,42.5571,-92.4003
ALS,San Luis Valley Regional Bergman Field,Alamosa,37.4349,-105.867
ALW,Walla Walla Regional Airport,Walla Walla,46.0949,-118.288
ALX,Thomas C Russell Field,Alexander City,32.9147,-85.963
